,local_acc,local_loss
0,0.3272270114942529,1.6031753400276447
1,0.35919540229885055,1.5875726321647907
2,0.33153735632183906,1.5760863032834282
3,0.3358477011494253,1.5492390887490635
4,0.31896551724137934,1.529382586479187
5,0.5535201149425287,1.4544073302170326
6,0.6210488505747126,1.364255506416847
7,0.6408045977011494,1.3111542093342747
8,0.6663074712643678,1.2616336551205865
9,0.6781609195402298,1.2304975780947456
10,0.697198275862069,1.2079242344560295
11,0.7025862068965517,1.2013141101804272
12,0.7051005747126436,1.1945197911098087
13,0.7798132183908046,1.1591193634888222
14,0.7665229885057471,1.1637726652211156
15,0.795617816091954,1.1300182301422645
16,0.795617816091954,1.140979898386988
17,0.8031609195402298,1.1390781279267936
18,0.8200431034482759,1.125777055477274
19,0.8168103448275862,1.1084465528356617
20,0.8117816091954023,1.1230883598327637
21,0.8243534482758621,1.1074259096178516
22,0.822198275862069,1.1122842554388375
23,0.8139367816091954,1.115243907632499
24,0.8139367816091954,1.1082782210974857
25,0.8128591954022989,1.1140965058885772
26,0.8265086206896551,1.1035830049679196
27,0.8243534482758621,1.109033923724602
28,0.8099856321839081,1.1170156741964405
29,0.8286637931034483,1.1020854978725827
30,0.8089080459770115,1.1194145967220437
31,0.8089080459770115,1.1166372751367504
32,0.8275862068965517,1.0989806241002575
33,0.8265086206896551,1.1022110149778168
34,0.8225574712643678,1.103893127934686
35,0.8308189655172413,1.0948876080841854
36,0.8329741379310345,1.1012548167130043
37,0.8275862068965517,1.0997726793946891
38,0.8214798850574713,1.0996278236652244
39,0.8142959770114943,1.1120764551491573
40,0.8089080459770115,1.1061634133602012
41,0.8351293103448276,1.0912665560327728
42,0.8236350574712644,1.0989977861272877
43,0.8257902298850575,1.1010400467905506
44,0.8329741379310345,1.0905258799421376
45,0.834051724137931,1.0885225801632321
46,0.8225574712643678,1.09749756804828
47,0.8132183908045977,1.1048594630997757
48,0.8247126436781609,1.0972278262006825
49,0.8405172413793104,1.0880259707056243
